1;1;Le temps à l'œuvre;Damien Aspe interviendra lors d’une conférence sur le processus temporel comme matériau à part entière de la création. Le temps, au fil de l’histoire de l’art, est devenu un véritable composant plastique. Prenant appui sur les oeuvres présentées, dont les siennes, dans l’exposition À l’oeuvre du temps, Damien Aspe ouvrira son propos sur les questionnements qui permettent une mise au temps de l’oeuvre.;Damien Aspe;Conférence;1.webp;0;18h30;24/11/2022
2;2;Penser la ville autrement;Vous êtes architecte, urbaniste, designer ou vous aimez réfléchir à la manière il est possible de modeler l'espace pour lui donner un but ? N'hésitez plus et venez participer à la conférence de Sonia  Lavadinho, anthropologue urbaine, et Luc Gwiazdzinski, enseignant chercheur à l'École nationale supérieure d'architecture (ENSAT). Ils vous embarqueront dans leur univers de possibles pour modeler la ville pour tous !;Sonia Lavadinho, Luc Gwiazdzinski;Conférence;2.jpg.webp;0;10h;25/11/2022
3;3;Mise au noir;"Mathilde Thouron est docteure en architecture et enseignante à l’Éducation nationale en design et métiers d’art. Elle est membre associée du Laboratoire de Recherche en Architecture de Toulouse (LRA). Elle travaille sur l’usage de l’obscurité et du noir dans la conception en scénographie d’exposition ainsi que sur les modes de créations interdisciplinaires. Mise au noir, fonctions du visible et de l’invisible en scénographie est d’abord un travail de thèse de doctorat réalisée en école d’architecture par Mathilde Thouron qui a donné lieu à la publication d’un ouvrage du même nom, sorti en mai 2022 chez Elya éditions. La double direction de sa thèse entre un chercheur praticien, Rémi Papillault, et une chercheuse en esthétique, Andrea Urlberger, a véritablement permis d'orienter les aspects pluridisciplinaires de son enquête. Cette thèse s'intéresse autant aux questions pratiques que soulèvent les problématiques de conception dans la création des musées (de leur architecture à leur scénographie), qu'aux questions esthétiques :  dans quelle mesure l'orientation vers les scénographies de type sombres parle de notre rapport à la connaissance ? Son travail de recherche s’est focalisé sur 3 études de cas, parmi lesquels le musée du Quai Branly, le musée des Confluences et le Muséum d’histoire naturelle de Toulouse avec le même processus d’interviews du personnel joint à l'analyse des étapes de projets qui ont préfiguré ces espaces. Avant de présenter les 3 études de cas, une focale sera faite sur le thème de l’obscurité, avec les articulations entre magiques optiques et découvertes scientifiques au tournant du 20e siècle. Puis Mathilde Thouron présentera la rédaction de son ouvrage en regard de son document de thèse. Travail de restitution de thèse avec pour étude de cas le Muséum de Toulouse";Mathilde Thouron;Conférence;3.jpg.webp;0;16h30;26/11/2022
4;3;Le silure, le géant d'eau douce;"Un poisson aux dimensions hors norme, actuellement le plus grand en Europe, qui peut dépasser 2,70 m et plus de 130 kilos. Une espèce aux comportements alimentaires et sociaux à la fois surprenants et fascinants. Un animal aussi grand et mystérieux suscite forcément beaucoup d’interrogations et de fantasmes. Venez-vous faire votre propre opinion et découvrir un peu plus le silure glane. Un poisson aux dimensions hors norme, actuellement le plus grand en Europe, qui peut dépasser 2,70 m et plus de 130 kilos. Une espèce aux comportements alimentaires et sociaux à la fois surprenants et fascinants. Un animal aussi grand et mystérieux suscite forcément beaucoup d’interrogations et de fantasmes. Venez-vous faire votre propre opinion et découvrir un peu plus le silure glane.";Carl Linnaeus;Conférence;4.jpg.webp;0;18h30;30/11/2022
5;3;Enquête judiciaire : les experts de la mort;"Comment font les médecins légistes pour faire parler les cadavres ? Comment étudier une scène de crime ? Comment procèdent les experts des séries policières dans la vraie vie ? Quelles sont les techniques d’investigation des experts judiciaires ? Mourir n’est pas vraiment la fin, c’est même le début d’une suite de transformations bien ordonnées qui vont aller, dans des conditions normales, jusqu'à l'état de squelette. Bactéries et insectes mangeurs de cadavres entrent en scène pour activer la décomposition. Entre observations méticuleuses et méthodes scientifiques, les professionnels vont alors analyser la métamorphose et interpréter ces indices ténus pour expliquer un décès. Mettons-nous dans l’ambiance avec un bon polar et deux experts scientifiques pour discuter en vrai, de leur métier.";Patrice Georges, Damien Charabidze;Conférence;5.jpg.webp;0;18h30;01/12/2022
6;4;Conférence musicale;Le Funk a émergé vers le milieu des années 1960 aux Etats-Unis. Issu principalement de la soul et du jazz, le funk se caractérise par la prédominance de la section rythmique guitare / basse / batterie qui joue des motifs syncopés et par la présence fréquente des cuivres qui offrent des ponctuations rythmiques, des riffs ou bien des solos. C'est cette histoire que Ferdinand va nous conter...;Ferdinand Doumerc;Conférence;6.jpg.webp;0;18h30;06/12/2022
7;5;Rencontre Photographie & livres photo;"Envie de partager votre image favorite de votre photographe préféré ? De découvrir de beaux livres photo ? D’échanger sur des projets de fanzines photo autoédités que vous adorez ? Rejoignez-nous ! L’objectif est tout simplement de passer un bon moment avec des personnes qui ont les mêmes intérêts que vous : photographie et livres photo. Pour cette rencontre, amenez votre livre photo préféré ou encore mieux demandez-le à la bibliothèque du Château d’Eau où aura lieu cette fois la rencontre !";Belén Jiménez;Conférence;7.jpg.webp;0;15h;10/12/2022
8;3;Objets célestes : le ciel va-t-il nous tomber sur la tête ?;A la recherche des traces d’impacts au sol, vous découvrirez un aperçu de ce que nous dit la géologie sur le risque d’une collision cosmique avec notre planète.;Renaud Mathieu;Conférence;8.jpg.webp;0;18h30;14/12/2022
9;5;Vernissage Prix Caritas Photo Sociale 2022;Le Prix Caritas Photo Sociale valorise les photographes qui donnent de la visibilité à la pauvreté et à l’exclusion en France. Il a été créé par le Réseau Caritas France.;Cyril Zannettacci, Karen Assayag, Pierre Jarlan;Exposition;9.jpg.webp;0;18h;22/11/2022
10;6;Exposition : Philippe Saucourt & Thierry Genay;"Graphiste dans le textile, Thierry Genay est devenu par la suite photographe de natures mortes. Du graphisme il a gardé l’expérience de la composition, du textile celle des matières. L’artiste a commencé par un travail graphique abstrait et épuré, prenant le contrepied des ambiances surchargées des tendances de la mode sur lesquelles il avait précédemment beaucoup travaillé. Ensuite est venu le choix du médium photographique par culture, par goût et par association avec un intérêt tout particulier pour la peinture hollandaise du XVII° siècle, que ce soit par la matière picturale des grands fonds ocres et gris des natures mortes ou la construction rigoureuse des scènes de genres. Thierry Genay est donc un photographe héritier d’une peinture qui, à défaut de motifs nobles et sublimes, se nourrit d’une perception du quotidien. Ses compositions photographiques s’inscrivent dans cette histoire sans cesse renouvelée de la nature morte. Nature morte miroir des modes de vie, d’une réalité quotidienne humaniste ou spirituelle, d’une réflexion sur l’harmonie de la nature, mais toujours écho de l’intime. Cabinet de curiosités composé d’objets simples, naturels ou manufacturés, perdant leur qualité d’usage pour devenir forme et matière intégrant parfaitement l’arrière-plan. Objets modestes qui se valorisent mutuellement, se fondant dans une composition qui glisse vers l’abstraction. Il s’agit d’un travail où l’on retranche plutôt que d’ajouter, il s’agit d’orchestrer précisément un silence, l’expression d’un équilibre en apparence tranquille entre formes et matières, entre plein et vide, entre ce qui se verrait et ce qui ne se voit pas. Philippe Saucourt est peintre et plasticien autodidacte. Le dialogue entre photographie et peinture caractérise sa démarche actuelle. Point de départ du tableau, la photographie est pour lui la marque indéfectible du réel. Son rôle de peintre est d’y mêler ensuite sa propre trace, à mi-chemin entre réalisme et onirisme. Bien qu’identifiables, ses paysages urbains, industriels ou naturels semblent parfois se soustraire au regard du spectateur, pour faire place à un travail sur la lumière.";Philippe Saucourt, Thierry Genay;Exposition;10.jpg.webp;0;9h;26/10/2022 - 24/11/2022
